Scenario,Process,Units_Required,Equipment_per_Center,Num_Centers,Operators_Per_Unit,Total_Operators,Hourly_Cost,Annual_Labor_Cost,Utilization_per_Center,Workload_per_Center_Min
f2,A,12,6,2,1.25,15.0,20.0,1248000.0,0.9284,23581.73
f2,B,36,18,2,1.25,45.0,40.0,7488000.0,0.9807,74735.58
f2,C,10,5,2,1.25,12.5,60.0,3120000.0,0.9039,19134.62
f2,D,50,25,2,1.25,62.5,20.0,5200000.0,0.998,105625.0
f2,E,24,12,2,1.0,24.0,20.0,1996800.0,0.9236,46923.08
f2,F,28,14,2,1.0,28.0,20.0,2329600.0,0.932,55240.38
f2,G,10,5,2,1.0,10.0,20.0,832000.0,0.9062,19182.69
f2,H,34,17,2,2.0,68.0,20.0,5657600.0,0.9933,71490.38
f2,I,32,16,2,2.0,64.0,20.0,5324800.0,0.9674,65528.85
f2,J,56,28,2,2.0,112.0,20.0,9318400.0,0.9728,115312.5
f2,K,8,4,2,0.5,4.0,20.0,332800.0,0.8787,14879.81
f2,L,36,18,2,0.5,18.0,20.0,1497600.0,0.9482,72259.62
f2,M,56,28,2,0.5,28.0,20.0,2329600.0,0.977,115817.31
f3,A,12,4,3,1.25,15.0,20.0,1248000.0,0.9284,15721.15
f3,B,36,12,3,1.25,45.0,40.0,7488000.0,0.9807,49823.72
f3,C,12,4,3,1.25,15.0,60.0,3744000.0,0.7533,12756.41
f3,D,51,17,3,1.25,63.75,20.0,5304000.0,0.9784,70416.67
f3,E,24,8,3,1.0,24.0,20.0,1996800.0,0.9236,31282.05
f3,F,27,9,3,1.0,27.0,20.0,2246400.0,0.9665,36826.92
f3,G,12,4,3,1.0,12.0,20.0,998400.0,0.7552,12788.46
f3,H,36,12,3,2.0,72.0,20.0,5990400.0,0.9381,47660.26
f3,I,33,11,3,2.0,66.0,20.0,5491200.0,0.9381,43685.9
f3,J,57,19,3,2.0,114.0,20.0,9484800.0,0.9557,76875.0
f3,K,9,3,3,0.5,4.5,20.0,374400.0,0.781,9919.87
f3,L,36,12,3,0.5,18.0,20.0,1497600.0,0.9482,48173.08
f3,M,57,19,3,0.5,28.5,20.0,2371200.0,0.9599,77211.54
f4,A,12,3,4,1.25,15.0,20.0,1248000.0,0.9284,11790.87
f4,B,36,9,4,1.25,45.0,40.0,7488000.0,0.9807,37367.79
f4,C,12,3,4,1.25,15.0,60.0,3744000.0,0.7533,9567.31
f4,D,52,13,4,1.25,65.0,20.0,5408000.0,0.9596,52812.5
f4,E,24,6,4,1.0,24.0,20.0,1996800.0,0.9236,23461.54
f4,F,28,7,4,1.0,28.0,20.0,2329600.0,0.932,27620.19
f4,G,12,3,4,1.0,12.0,20.0,998400.0,0.7552,9591.35
f4,H,36,9,4,2.0,72.0,20.0,5990400.0,0.9381,35745.19
f4,I,32,8,4,2.0,64.0,20.0,5324800.0,0.9674,32764.42
f4,J,56,14,4,2.0,112.0,20.0,9318400.0,0.9728,57656.25
f4,K,8,2,4,0.5,4.0,20.0,332800.0,0.8787,7439.9
f4,L,36,9,4,0.5,18.0,20.0,1497600.0,0.9482,36129.81
f4,M,56,14,4,0.5,28.0,20.0,2329600.0,0.977,57908.65
f5,A,15,3,5,1.25,18.75,20.0,1560000.0,0.7427,9432.69
f5,B,40,8,5,1.25,50.0,40.0,8320000.0,0.8826,29894.23
f5,C,10,2,5,1.25,12.5,60.0,3120000.0,0.9039,7653.85
f5,D,50,10,5,1.25,62.5,20.0,5200000.0,0.998,42250.0
f5,E,25,5,5,1.0,25.0,20.0,2080000.0,0.8867,18769.23
f5,F,30,6,5,1.0,30.0,20.0,2496000.0,0.8699,22096.15
f5,G,10,2,5,1.0,10.0,20.0,832000.0,0.9062,7673.08
f5,H,35,7,5,2.0,70.0,20.0,5824000.0,0.9649,28596.15
f5,I,35,7,5,2.0,70.0,20.0,5824000.0,0.8845,26211.54
f5,J,55,11,5,2.0,110.0,20.0,9152000.0,0.9905,46125.0
f5,K,10,2,5,0.5,5.0,20.0,416000.0,0.7029,5951.92
f5,L,35,7,5,0.5,17.5,20.0,1456000.0,0.9753,28903.85
f5,M,55,11,5,0.5,27.5,20.0,2288000.0,0.9948,46326.92
