Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
A,47163.46,15721.15,4,12,0.9284,4233.6
B,149471.15,49823.72,12,36,0.9807,4233.6
C,38269.23,12756.41,4,12,0.7533,4233.6
D,211250.0,70416.67,17,51,0.9784,4233.6
E,93846.15,31282.05,8,24,0.9236,4233.6
F,110480.77,36826.92,9,27,0.9665,4233.6
G,38365.38,12788.46,4,12,0.7552,4233.6
H,142980.77,47660.26,12,36,0.9381,4233.6
I,131057.69,43685.9,11,33,0.9381,4233.6
J,230625.0,76875.0,19,57,0.9557,4233.6
K,29759.62,9919.87,3,9,0.781,4233.6
L,144519.23,48173.08,12,36,0.9482,4233.6
M,231634.62,77211.54,19,57,0.9599,4233.6
