file,status,rows,cols,percent_rows_all_zero_or_nan,num_constant_columns,num_all_zero_columns,num_duplicate_rows,percent_missing_cells
results\Task3\Part\Part_Based_Process_Part_Matrix.csv,OK,21,15,0.0,0,0,0,0.0
results\Task3\Part\PART_RESULTS_SCAN_SUMMARY.csv,OK,30,9,0.0,2,2,0,0.0
results\Task3\Part\Capacity\Capacity_Comparison_Operations.csv,OK,13,3,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Capacity_Comparison_Parts.csv,OK,20,3,0.0,0,0,0,0.0
results\Task3\Part\Capacity\OPTIMIZED_Equipment_Requirements.csv,OK,14,8,0.0,0,0,0,0.0
results\Task3\Part\Capacity\OPTIMIZED_Utilization_Matrix_2_shifts.csv,OK,20,14,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Based_All_Parts_Flow_Analysis.csv,OK,20,5,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Based_All_Parts_Flow_Distance_Breakdown.csv,OK,97,9,0.0,0,0,0,4.58
results\Task3\Part\Capacity\Part_Based_All_Parts_Layout_Summary.csv,OK,20,7,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Based_All_Parts_Machine_Usage.csv,OK,20,15,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Based_Equipment_Requirements.csv,OK,14,7,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Based_Process_Frequency.csv,OK,15,2,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Based_Process_Workload_Breakdown.csv,OK,121,5,0.0,0,0,0,4.3
results\Task3\Part\Capacity\Part_Based_Weekly_Part_Demand.csv,OK,20,2,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Based_Year1_Layout_Summary.csv,OK,7,8,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Operation_Machine_Requirements_1_shifts.csv,OK,23,15,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Operation_Machine_Requirements_2_shifts.csv,OK,23,15,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Operation_Utilization_Matrix_2_shifts.csv,OK,20,14,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Step_Machines_Summary_1_shifts.csv,OK,20,9,0.0,0,0,0,23.89
results\Task3\Part\Capacity\Part_Step_Machines_Summary_2_shifts.csv,OK,20,9,0.0,0,0,0,23.89
results\Task3\Part\Capacity\Part_Step_Process_Capacity_Requirements_1_shifts.csv,OK,157,6,0.0,0,0,0,0.0
results\Task3\Part\Capacity\Part_Step_Process_Capacity_Requirements_2_shifts.csv,OK,157,6,0.0,0,0,0,0.0
results\Task3\Part\cleaned\Part_Based_All_Parts_Flow_Distance_Breakdown_CLEANED.csv,OK,97,9,0.0,0,0,0,4.58
results\Task3\Part\cleaned\Part_Based_Process_Workload_Breakdown_CLEANED.csv,OK,122,5,0.0,0,0,0,4.43
results\Task3\Part\cleaned\Part_Step_Machines_Summary_1_shifts_CLEANED.csv,OK,20,9,0.0,0,0,0,23.89
results\Task3\Part\cleaned\Part_Step_Machines_Summary_2_shifts_CLEANED.csv,OK,20,9,0.0,0,0,0,23.89
results\Task3\Part\Cost_Analysis\Part_Based_Capital_Costs_Detailed.csv,OK,13,8,0.0,0,0,0,0.0
results\Task3\Part\Cost_Analysis\Part_Based_Depreciation_Analysis.csv,OK,13,4,0.0,0,0,0,0.0
results\Task3\Part\Cost_Analysis\Part_Based_Operating_Costs_Detailed.csv,OK,13,8,0.0,0,0,0,0.0
results\Task3\Part\originals_backup_20251114_1200\Part_Based_All_Parts_Flow_Distance_Breakdown.csv,OK,97,9,0.0,0,0,0,13.75
results\Task3\Part\originals_backup_20251114_1200\Part_Based_Process_Workload_Breakdown.csv,OK,136,5,0.0,0,0,14,5.74
results\Task3\Part\originals_backup_20251114_1200\Part_Step_Machines_Summary_1_shifts.csv,OK,20,9,0.0,0,0,0,23.89
results\Task3\Part\originals_backup_20251114_1200\Part_Step_Machines_Summary_2_shifts.csv,OK,20,9,0.0,0,0,0,23.89
results\Task3\Part\summary_archive\Part_Based_Cost_KPIs.csv,OK,1,13,0.0,13,0,0,0.0
