Process,Group,Equipment_Count,Layout_Grid,Total_Spaces,Wasted_Spaces,Machine_Width_ft,Machine_Depth_ft,Block_Width_ft,Block_Depth_ft,Block_Area_sqft,Aspect_Ratio,Utilization,Perimeter_ft,Optimization_Score
A,ABCD,5,2×3,6,1,14,14,28,38,1064,1.357,0.8333,132,72.35
B,ABCD,15,3×5,15,0,14,14,42,62,2604,1.476,1.0,208,60.65
C,ABCD,5,2×3,6,1,14,14,28,38,1064,1.357,0.8333,132,72.35
D,ABCD,22,4×6,24,2,14,14,56,74,4144,1.321,0.9167,260,125.69
E,EFG,14,5×3,15,1,22,15,66,75,4950,1.136,0.9333,282,92.52
F,EFG,12,4×3,12,0,22,15,66,60,3960,1.1,1.0,252,54.4
G,EFG,6,3×2,6,0,22,15,44,45,1980,1.023,1.0,178,36.51
H,HIJ,16,2×8,16,0,14,36,112,72,8064,1.556,1.0,368,95.82
I,HIJ,17,3×6,18,1,14,36,84,108,9072,1.286,0.9444,384,118.78
J,HIJ,27,3×9,27,0,14,36,126,108,13608,1.167,1.0,468,100.27
K,KLM,4,1×4,4,0,14,7,14,25,350,1.786,1.0,78,47.03
L,KLM,16,2×8,16,0,14,7,28,49,1372,1.75,1.0,154,60.8
M,KLM,25,5×5,25,0,14,7,70,31,2170,2.258,1.0,202,90.72
