Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
5,A,68775.0,17193.75,5,20,0.8123,4233.6
5,B,252050.0,63012.5,15,60,0.9923,4233.6
5,C,70550.0,17637.5,5,20,0.8332,4233.6
5,D,364850.0,91212.5,22,88,0.9793,4233.6
5,E,231250.0,57812.5,14,56,0.9754,4233.6
5,F,199825.0,49956.25,12,48,0.9833,4233.6
5,G,87075.0,21768.75,6,24,0.857,4233.6
5,H,265075.0,66268.75,16,64,0.9783,4233.6
5,I,281725.0,70431.25,17,68,0.9786,4233.6
5,J,451025.0,112756.25,27,108,0.9864,4233.6
5,K,61100.0,15275.0,4,16,0.902,4233.6
5,L,268950.0,67237.5,16,64,0.9926,4233.6
5,M,422700.0,105675.0,25,100,0.9984,4233.6
