from,total_flow,total_distance_travelled_ft,total_distance_travelled_km
A,11346.153846153844,470929.359,143539.264
B,17067.30769230769,667230.967,203371.992
C,15769.23076923077,990991.441,302054.182
D,18076.923076923078,2029818.363,618688.617
E,20865.384615384617,1304459.243,397599.165
F,19903.846153846152,2547695.29,776537.5
G,20865.384615384617,1781586.66,543027.597
H,9759.615384615383,827391.8620000001,252189.031
I,20096.153846153848,2522927.853,768988.385
J,1153.8461538461538,144857.102,44152.443
K,10913.461538461539,432779.297,131911.126
L,17932.69230769231,875340.2320000001,266803.694
M,5000.0,318943.569,97213.997
