Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,5700.0,13120.0,28500.0,65600.0
B,10080.0,22200.0,50400.0,111000.0
C,20760.0,20760.0,103800.0,103800.0
D,22920.0,22920.0,114600.0,114600.0
E,7120.0,34920.0,35600.0,174600.0
F,21820.0,27140.0,109100.0,135700.0
G,33320.0,33320.0,166600.0,166600.0
H,23480.0,16160.0,117400.0,80800.0
I,40420.0,27460.0,202100.0,137300.0
J,36300.0,3920.0,181500.0,19600.0
K,8920.0,16140.0,44600.0,80700.0
L,13100.0,23760.0,65500.0,118800.0
M,23760.0,5880.0,118800.0,29400.0
