Part,Process_Sequence,Total_Machines,Layout_Width_ft,Layout_Height_ft,Total_Area_sqft,Number_of_Steps
P1,B → A → B3 → C → D → I → J,113,260,216,56160,7
P2,A → C → D → H → J,31,122,180,21960,5
P3,B → D → C → I → J,31,122,144,17568,5
P4,A → B → D → G → H,21,116,108,12528,5
P5,B → C → D → I,18,94,108,10152,4
P6,A → B → C → D → H → I → J,26,124,144,17856,7
P7,E → F → C → D → I → J,40,196,144,28224,6
P8,E → H → J → I,15,100,144,14400,4
P9,F → G → E → G4 → I → J,30,232,180,41760,6
P10,E → F → I → J,13,86,108,9288,4
P11,E → G → E3 → G4 → I,27,146,108,15768,5
P12,E → G → F → I → J,29,166,180,29880,5
P13,E → F → G → F4 → G5 → H → I,25,196,144,28224,7
P14,E → F → G → H,29,152,180,27360,4
P15,E → G → F → H → J,13,122,108,13176,5
P16,F → H → I → J,32,142,216,30672,4
P17,K → L → M,19,13,26,338,3
P18,K → L → K3 → M,34,22,31,682,4
P19,L → M → L3 → M4,130,40,46,1840,4
P20,L → K → M,29,17,31,527,3
